time,buyer,seller,quantity_kWh
2018-08-23 19:00:00+00:00,h5,h4,0.5746
2018-08-23 19:00:00+00:00,h5,h3,0.1089666666666666
2018-08-23 19:00:00+00:00,h2,h3,0.04385
2018-08-23 19:10:00+00:00,h1,h4,0.2066166666666668
2018-08-23 19:10:00+00:00,h5,h4,0.1200166666666665
2018-08-23 19:30:00+00:00,h2,h4,0.3178999999999999
2018-08-23 19:30:00+00:00,h5,h4,0.0981833333333333
2018-08-23 19:40:00+00:00,h2,h4,0.2625666666666665
2018-08-23 20:00:00+00:00,h1,h4,0.3366166666666666
2018-08-23 20:00:00+00:00,h5,h4,0.1006166666666666
2018-08-23 20:00:00+00:00,h5,h3,0.0348166666666666
2018-08-23 20:00:00+00:00,h2,h3,0.01045
2018-08-23 20:10:00+00:00,h2,h4,0.4261499999999998
2018-08-23 20:10:00+00:00,h2,h5,0.07625
2018-08-23 20:10:00+00:00,h1,h5,0.2387166666666666
2018-08-23 20:10:00+00:00,h1,h3,0.0570333333333333
2018-08-23 20:20:00+00:00,h2,h4,0.2913166666666665
2018-08-23 20:20:00+00:00,h2,h5,0.0700666666666667
2018-08-23 20:20:00+00:00,h1,h5,0.1367666666666665
2018-08-23 20:20:00+00:00,h1,h3,0.0507333333333333
2018-08-23 20:30:00+00:00,h3,h4,0.1440166666666666
2018-08-23 20:30:00+00:00,h5,h4,0.1188999999999999
2018-08-23 20:30:00+00:00,h5,h2,0.01575
2018-08-23 20:40:00+00:00,h2,h1,0.2102166666666666
2018-08-23 20:40:00+00:00,h3,h1,0.1851833333333333
2018-08-23 20:50:00+00:00,h2,h5,0.4506166666666667
2018-08-23 20:50:00+00:00,h2,h1,0.2455333333333333
2018-08-23 20:50:00+00:00,h3,h1,0.1752333333333331
2018-08-23 20:50:00+00:00,h3,h4,0.0559000000000001
2018-08-23 21:00:00+00:00,h2,h1,0.26555
2018-08-23 21:00:00+00:00,h2,h4,0.1729833333333332
2018-08-23 21:00:00+00:00,h3,h4,0.0387333333333332
2018-08-23 21:10:00+00:00,h1,h4,0.24545
2018-08-23 21:10:00+00:00,h5,h2,0.0572666666666666
2018-08-23 21:20:00+00:00,h1,h5,0.2815499999999999
2018-08-23 21:20:00+00:00,h3,h5,0.0744833333333333
2018-08-23 21:20:00+00:00,h3,h2,0.0566333333333333
2018-08-23 21:30:00+00:00,h2,h4,0.1979833333333333
2018-08-23 21:40:00+00:00,h2,h1,0.22315
2018-08-23 21:40:00+00:00,h2,h4,0.1913333333333332
2018-08-23 21:50:00+00:00,h5,h1,0.3486166666666667
2018-08-23 21:50:00+00:00,h5,h4,0.1139333333333332
2018-08-23 21:50:00+00:00,h2,h4,0.0464500000000001
2018-08-23 22:00:00+00:00,h5,h1,0.1659666666666666
2018-08-23 22:10:00+00:00,h5,h1,0.3178833333333332
2018-08-23 22:10:00+00:00,h5,h4,0.1516499999999999
2018-08-23 22:20:00+00:00,h5,h1,0.1746833333333333
2018-08-23 22:20:00+00:00,h5,h4,0.1188333333333333
2018-08-23 22:20:00+00:00,h5,h2,0.0832833333333333
2018-08-23 22:40:00+00:00,h5,h2,0.0857999999999999
2018-08-24 13:20:00+00:00,h3,h4,0.0409
2018-08-24 13:30:00+00:00,h1,h4,0.0578333333333333
2018-08-24 13:40:00+00:00,h1,h4,0.07515
2018-08-24 13:50:00+00:00,h5,h4,0.0746333333333333
2018-08-24 14:00:00+00:00,h3,h4,0.0606166666666666
2018-08-24 14:10:00+00:00,h1,h4,0.1056499999999999
2018-08-24 14:10:00+00:00,h1,h5,0.0656833333333333
2018-08-24 14:20:00+00:00,h3,h4,0.1307333333333333
2018-08-24 14:20:00+00:00,h3,h5,0.01005
2018-08-24 14:20:00+00:00,h1,h5,0.1128
2018-08-24 14:20:00+00:00,h2,h5,0.0077666666666666
2018-08-24 14:30:00+00:00,h2,h3,0.19875
2018-08-24 14:30:00+00:00,h2,h5,0.0899166666666666
2018-08-24 14:30:00+00:00,h1,h5,0.0824666666666667
2018-08-24 14:30:00+00:00,h1,h4,0.0153999999999999
2018-08-24 14:40:00+00:00,h1,h5,0.19845
2018-08-24 14:40:00+00:00,h1,h4,0.1892499999999999
2018-08-24 14:40:00+00:00,h1,h3,0.1189166666666666
2018-08-24 14:40:00+00:00,h2,h3,0.04195
2018-08-24 14:50:00+00:00,h1,h4,0.2198
2018-08-24 14:50:00+00:00,h1,h5,0.1901166666666666
2018-08-24 14:50:00+00:00,h2,h5,0.0265833333333333
2018-08-24 15:00:00+00:00,h2,h5,0.2385999999999999
2018-08-24 15:00:00+00:00,h2,h4,0.1978166666666666
2018-08-24 15:00:00+00:00,h1,h4,0.0312999999999999
2018-08-24 15:00:00+00:00,h1,h3,0.0707833333333333
2018-08-24 15:10:00+00:00,h1,h4,0.2341833333333333
2018-08-24 15:10:00+00:00,h1,h2,0.0066333333333333
2018-08-24 15:20:00+00:00,h2,h4,0.2524499999999999
2018-08-24 15:30:00+00:00,h1,h4,0.0513666666666666
2018-08-24 15:40:00+00:00,h2,h4,0.3329833333333333
2018-08-24 15:40:00+00:00,h2,h5,0.2930166666666666
2018-08-24 15:40:00+00:00,h2,h3,0.0168666666666666
2018-08-24 15:50:00+00:00,h1,h5,0.3735999999999999
2018-08-24 15:50:00+00:00,h3,h5,0.0103
2018-08-24 16:00:00+00:00,h2,h5,0.4233833333333333
2018-08-24 16:00:00+00:00,h2,h4,0.2008166666666666
2018-08-24 16:00:00+00:00,h1,h4,0.2174833333333334
2018-08-24 16:10:00+00:00,h1,h4,0.1733166666666666
2018-08-24 16:10:00+00:00,h5,h4,0.0767833333333332
2018-08-24 16:20:00+00:00,h2,h4,0.26385
2018-08-24 16:20:00+00:00,h5,h4,0.1464333333333334
2018-08-24 16:20:00+00:00,h1,h4,0.0283333333333333
2018-08-24 16:30:00+00:00,h1,h4,0.4643666666666666
2018-08-24 16:30:00+00:00,h2,h4,0.0305333333333333
2018-08-24 16:30:00+00:00,h2,h5,0.1295999999999999
2018-08-24 16:40:00+00:00,h2,h4,0.1929833333333333
2018-08-24 16:50:00+00:00,h2,h4,0.1661999999999999
